HeartRate,SpO2,HealthStatus
31,97,Undetermined
31,98,Undetermined
31,99,Undetermined
31,100,Undetermined
32,0,Undetermined
32,1,Undetermined
32,2,Undetermined
32,3,Undetermined
32,4,Undetermined
32,5,Undetermined
32,6,Undetermined
32,7,Undetermined
32,8,Undetermined
32,9,Undetermined
32,10,Undetermined
32,11,Undetermined
32,12,Undetermined
32,13,Undetermined
32,14,Undetermined
32,15,Undetermined
32,16,Undetermined
32,17,Undetermined
32,18,Undetermined
32,19,Undetermined
32,20,Undetermined
32,21,Undetermined
32,22,Undetermined
32,23,Undetermined
32,24,Undetermined
32,25,Undetermined
32,26,Undetermined
32,27,Undetermined
32,28,Undetermined
32,29,Undetermined
32,30,Undetermined
32,31,Undetermined
32,32,Undetermined
32,33,Undetermined
32,34,Undetermined
32,35,Undetermined
32,36,Undetermined
32,37,Undetermined
32,38,Undetermined
32,39,Undetermined
32,40,Undetermined
32,41,Undetermined
32,42,Undetermined
32,43,Undetermined
32,44,Undetermined
32,45,Undetermined
32,46,Undetermined
32,47,Undetermined
32,48,Undetermined
32,49,Undetermined
32,50,Undetermined
32,51,Undetermined
32,52,Undetermined
32,53,Undetermined
32,54,Undetermined
32,55,Undetermined
32,56,Undetermined
32,57,Undetermined
32,58,Undetermined
32,59,Undetermined
32,60,Undetermined
32,61,Undetermined
32,62,Undetermined
32,63,Undetermined
32,64,Undetermined
32,65,Undetermined
32,66,Undetermined
32,67,Undetermined
32,68,Undetermined
32,69,Undetermined
32,70,Undetermined
32,71,Undetermined
32,72,Undetermined
32,73,Undetermined
32,74,Undetermined
32,75,Undetermined
32,76,Undetermined
32,77,Undetermined
32,78,Undetermined
32,79,Undetermined
32,80,Undetermined
32,81,Undetermined
32,82,Undetermined
32,83,Undetermined
32,84,Undetermined
32,85,Undetermined
32,86,Undetermined
32,87,Undetermined
32,88,Undetermined
32,89,Undetermined
32,90,Undetermined
32,91,Undetermined
32,92,Undetermined
32,93,Undetermined
32,94,Undetermined
32,95,Undetermined
32,96,Undetermined
32,97,Undetermined
32,98,Undetermined
32,99,Undetermined
32,100,Undetermined
33,0,Undetermined
33,1,Undetermined
33,2,Undetermined
33,3,Undetermined
33,4,Undetermined
33,5,Undetermined
33,6,Undetermined
33,7,Undetermined
33,8,Undetermined
33,9,Undetermined
33,10,Undetermined
33,11,Undetermined
33,12,Undetermined
33,13,Undetermined
33,14,Undetermined
33,15,Undetermined
33,16,Undetermined
33,17,Undetermined
33,18,Undetermined
33,19,Undetermined
33,20,Undetermined
33,21,Undetermined
33,22,Undetermined
33,23,Undetermined
33,24,Undetermined
33,25,Undetermined
33,26,Undetermined
33,27,Undetermined
33,28,Undetermined
33,29,Undetermined
33,30,Undetermined
33,31,Undetermined
33,32,Undetermined
33,33,Undetermined
33,34,Undetermined
33,35,Undetermined
33,36,Undetermined
33,37,Undetermined
33,38,Undetermined
33,39,Undetermined
33,40,Undetermined
33,41,Undetermined
33,42,Undetermined
33,43,Undetermined
33,44,Undetermined
33,45,Undetermined
33,46,Undetermined
33,47,Undetermined
33,48,Undetermined
33,49,Undetermined
33,50,Undetermined
33,51,Undetermined
33,52,Undetermined
33,53,Undetermined
33,54,Undetermined
33,55,Undetermined
33,56,Undetermined
33,57,Undetermined
33,58,Undetermined
33,59,Undetermined
33,60,Undetermined
33,61,Undetermined
33,62,Undetermined
33,63,Undetermined
33,64,Undetermined
33,65,Undetermined
33,66,Undetermined
33,67,Undetermined
33,68,Undetermined
33,69,Undetermined
33,70,Undetermined
33,71,Undetermined
33,72,Undetermined
33,73,Undetermined
33,74,Undetermined
33,75,Undetermined
33,76,Undetermined
33,77,Undetermined
33,78,Undetermined
33,79,Undetermined
33,80,Undetermined
33,81,Undetermined
33,82,Undetermined
33,83,Undetermined
33,84,Undetermined
33,85,Undetermined
33,86,Undetermined
33,87,Undetermined
33,88,Undetermined
33,89,Undetermined
33,90,Undetermined
33,91,Undetermined
33,92,Undetermined
33,93,Undetermined
33,94,Undetermined
33,95,Undetermined
33,96,Undetermined
33,97,Undetermined
33,98,Undetermined
33,99,Undetermined
33,100,Undetermined
34,0,Undetermined
34,1,Undetermined
34,2,Undetermined
34,3,Undetermined
34,4,Undetermined
34,5,Undetermined
34,6,Undetermined
34,7,Undetermined
34,8,Undetermined
34,9,Undetermined
34,10,Undetermined
34,11,Undetermined
34,12,Undetermined
34,13,Undetermined
34,14,Undetermined
34,15,Undetermined
34,16,Undetermined
34,17,Undetermined
34,18,Undetermined
34,19,Undetermined
34,20,Undetermined
34,21,Undetermined
34,22,Undetermined
34,23,Undetermined
34,24,Undetermined
34,25,Undetermined
34,26,Undetermined
34,27,Undetermined
34,28,Undetermined
34,29,Undetermined
34,30,Undetermined
34,31,Undetermined
34,32,Undetermined
34,33,Undetermined
34,34,Undetermined
34,35,Undetermined
34,36,Undetermined
34,37,Undetermined
34,38,Undetermined
34,39,Undetermined
34,40,Undetermined
34,41,Undetermined
34,42,Undetermined
34,43,Undetermined
34,44,Undetermined
34,45,Undetermined
34,46,Undetermined
34,47,Undetermined
34,48,Undetermined
34,49,Undetermined
34,50,Undetermined
34,51,Undetermined
34,52,Undetermined
34,53,Undetermined
34,54,Undetermined
34,55,Undetermined
34,56,Undetermined
34,57,Undetermined
34,58,Undetermined
34,59,Undetermined
34,60,Undetermined
34,61,Undetermined
34,62,Undetermined
34,63,Undetermined
34,64,Undetermined
34,65,Undetermined
34,66,Undetermined
34,67,Undetermined
34,68,Undetermined
34,69,Undetermined
34,70,Undetermined
34,71,Undetermined
34,72,Undetermined
34,73,Undetermined
34,74,Undetermined
34,75,Undetermined
34,76,Undetermined
34,77,Undetermined
34,78,Undetermined
34,79,Undetermined
34,80,Undetermined
34,81,Undetermined
34,82,Undetermined
34,83,Undetermined
34,84,Undetermined
34,85,Undetermined
34,86,Undetermined
34,87,Undetermined
34,88,Undetermined
34,89,Undetermined
34,90,Undetermined
34,91,Undetermined
34,92,Undetermined
34,93,Undetermined
34,94,Undetermined
34,95,Undetermined
34,96,Undetermined
34,97,Undetermined
34,98,Undetermined
34,99,Undetermined
34,100,Undetermined
35,0,Undetermined
35,1,Undetermined
35,2,Undetermined
35,3,Undetermined
35,4,Undetermined
35,5,Undetermined
35,6,Undetermined
35,7,Undetermined
35,8,Undetermined
35,9,Undetermined
35,10,Undetermined
35,11,Undetermined
35,12,Undetermined
35,13,Undetermined
35,14,Undetermined
35,15,Undetermined
35,16,Undetermined
35,17,Undetermined
35,18,Undetermined
35,19,Undetermined
35,20,Undetermined
35,21,Undetermined
35,22,Undetermined
35,23,Undetermined
35,24,Undetermined
35,25,Undetermined
35,26,Undetermined
35,27,Undetermined
35,28,Undetermined
35,29,Undetermined
35,30,Undetermined
35,31,Undetermined
35,32,Undetermined
35,33,Undetermined
35,34,Undetermined
35,35,Undetermined
35,36,Undetermined
35,37,Undetermined
35,38,Undetermined
35,39,Undetermined
35,40,Undetermined
35,41,Undetermined
35,42,Undetermined
35,43,Undetermined
35,44,Undetermined
35,45,Undetermined
35,46,Undetermined
35,47,Undetermined
35,48,Undetermined
35,49,Undetermined
35,50,Undetermined
35,51,Undetermined
35,52,Undetermined
35,53,Undetermined
35,54,Undetermined
35,55,Undetermined
35,56,Undetermined
35,57,Undetermined
35,58,Undetermined
35,59,Undetermined
35,60,Undetermined
35,61,Undetermined
35,62,Undetermined
35,63,Undetermined
35,64,Undetermined
35,65,Undetermined
35,66,Undetermined
35,67,Undetermined
35,68,Undetermined
35,69,Undetermined
35,70,Undetermined
35,71,Undetermined
35,72,Undetermined
35,73,Undetermined
35,74,Undetermined
35,75,Undetermined
35,76,Undetermined
35,77,Undetermined
35,78,Undetermined
35,79,Undetermined
35,80,Undetermined
35,81,Undetermined
35,82,Undetermined
35,83,Undetermined
35,84,Undetermined
35,85,Undetermined
35,86,Undetermined
35,87,Undetermined
35,88,Undetermined
35,89,Undetermined
35,90,Undetermined
35,91,Undetermined
35,92,Undetermined
35,93,Undetermined
35,94,Undetermined
35,95,Undetermined
35,96,Undetermined
35,97,Undetermined
35,98,Undetermined
35,99,Undetermined
35,100,Undetermined
36,0,Undetermined
36,1,Undetermined
36,2,Undetermined
36,3,Undetermined
36,4,Undetermined
36,5,Undetermined
36,6,Undetermined
36,7,Undetermined
36,8,Undetermined
36,9,Undetermined
36,10,Undetermined
36,11,Undetermined
36,12,Undetermined
36,13,Undetermined
36,14,Undetermined
36,15,Undetermined
36,16,Undetermined
36,17,Undetermined
36,18,Undetermined
36,19,Undetermined
36,20,Undetermined
36,21,Undetermined
36,22,Undetermined
36,23,Undetermined
36,24,Undetermined
36,25,Undetermined
36,26,Undetermined
36,27,Undetermined
36,28,Undetermined
36,29,Undetermined
36,30,Undetermined
36,31,Undetermined
36,32,Undetermined
36,33,Undetermined
36,34,Undetermined
36,35,Undetermined
36,36,Undetermined
36,37,Undetermined
36,38,Undetermined
36,39,Undetermined
36,40,Undetermined
36,41,Undetermined
36,42,Undetermined
36,43,Undetermined
36,44,Undetermined
36,45,Undetermined
36,46,Undetermined
36,47,Undetermined
36,48,Undetermined
36,49,Undetermined
36,50,Undetermined
36,51,Undetermined
36,52,Undetermined
36,53,Undetermined
36,54,Undetermined
36,55,Undetermined
36,56,Undetermined
36,57,Undetermined
36,58,Undetermined
36,59,Undetermined
36,60,Undetermined
36,61,Undetermined
36,62,Undetermined
36,63,Undetermined
36,64,Undetermined
36,65,Undetermined
36,66,Undetermined
36,67,Undetermined
36,68,Undetermined
36,69,Undetermined
36,70,Undetermined
36,71,Undetermined
36,72,Undetermined
36,73,Undetermined
36,74,Undetermined
36,75,Undetermined
36,76,Undetermined
36,77,Undetermined
36,78,Undetermined
36,79,Undetermined
36,80,Undetermined
36,81,Undetermined
36,82,Undetermined
36,83,Undetermined
36,84,Undetermined
36,85,Undetermined
36,86,Undetermined
36,87,Undetermined
36,88,Undetermined
36,89,Undetermined
36,90,Undetermined
36,91,Undetermined
36,92,Undetermined
36,93,Undetermined
36,94,Undetermined
36,95,Undetermined
36,96,Undetermined
36,97,Undetermined
36,98,Undetermined
36,99,Undetermined
36,100,Undetermined
37,0,Undetermined
37,1,Undetermined
37,2,Undetermined
37,3,Undetermined
37,4,Undetermined
37,5,Undetermined
37,6,Undetermined
37,7,Undetermined
37,8,Undetermined
37,9,Undetermined
37,10,Undetermined
37,11,Undetermined
37,12,Undetermined
37,13,Undetermined
37,14,Undetermined
37,15,Undetermined
37,16,Undetermined
37,17,Undetermined
37,18,Undetermined
37,19,Undetermined
37,20,Undetermined
37,21,Undetermined
37,22,Undetermined
37,23,Undetermined
37,24,Undetermined
37,25,Undetermined
37,26,Undetermined
37,27,Undetermined
37,28,Undetermined
37,29,Undetermined
37,30,Undetermined
37,31,Undetermined
37,32,Undetermined
37,33,Undetermined
37,34,Undetermined
37,35,Undetermined
37,36,Undetermined
37,37,Undetermined
37,38,Undetermined
37,39,Undetermined
37,40,Undetermined
37,41,Undetermined
37,42,Undetermined
37,43,Undetermined
37,44,Undetermined
37,45,Undetermined
37,46,Undetermined
37,47,Undetermined
37,48,Undetermined
37,49,Undetermined
37,50,Undetermined
37,51,Undetermined
37,52,Undetermined
37,53,Undetermined
37,54,Undetermined
37,55,Undetermined
37,56,Undetermined
37,57,Undetermined
37,58,Undetermined
37,59,Undetermined
37,60,Undetermined
37,61,Undetermined
37,62,Undetermined
37,63,Undetermined
37,64,Undetermined
37,65,Undetermined
37,66,Undetermined
37,67,Undetermined
37,68,Undetermined
37,69,Undetermined
37,70,Undetermined
37,71,Undetermined
37,72,Undetermined
37,73,Undetermined
37,74,Undetermined
37,75,Undetermined
37,76,Undetermined
37,77,Undetermined
37,78,Undetermined
37,79,Undetermined
37,80,Undetermined
37,81,Undetermined
37,82,Undetermined
37,83,Undetermined
37,84,Undetermined
37,85,Undetermined
37,86,Undetermined
37,87,Undetermined
37,88,Undetermined
37,89,Undetermined
37,90,Undetermined
37,91,Undetermined
37,92,Undetermined
37,93,Undetermined
37,94,Undetermined
37,95,Undetermined
37,96,Undetermined
37,97,Undetermined
37,98,Undetermined
37,99,Undetermined
37,100,Undetermined
38,0,Undetermined
38,1,Undetermined
38,2,Undetermined
38,3,Undetermined
38,4,Undetermined
38,5,Undetermined
38,6,Undetermined
38,7,Undetermined
38,8,Undetermined
38,9,Undetermined
38,10,Undetermined
38,11,Undetermined
38,12,Undetermined
38,13,Undetermined
38,14,Undetermined
38,15,Undetermined
38,16,Undetermined
38,17,Undetermined
38,18,Undetermined
38,19,Undetermined
38,20,Undetermined
38,21,Undetermined
38,22,Undetermined
38,23,Undetermined
38,24,Undetermined
38,25,Undetermined
38,26,Undetermined
38,27,Undetermined
38,28,Undetermined
38,29,Undetermined
38,30,Undetermined
38,31,Undetermined
38,32,Undetermined
38,33,Undetermined
38,34,Undetermined
38,35,Undetermined
38,36,Undetermined
38,37,Undetermined
38,38,Undetermined
38,39,Undetermined
38,40,Undetermined
38,41,Undetermined
38,42,Undetermined
38,43,Undetermined
38,44,Undetermined
38,45,Undetermined
38,46,Undetermined
38,47,Undetermined
38,48,Undetermined
38,49,Undetermined
38,50,Undetermined
38,51,Undetermined
38,52,Undetermined
38,53,Undetermined
38,54,Undetermined
38,55,Undetermined
38,56,Undetermined
38,57,Undetermined
38,58,Undetermined
38,59,Undetermined
38,60,Undetermined
38,61,Undetermined
38,62,Undetermined
38,63,Undetermined
38,64,Undetermined
38,65,Undetermined
38,66,Undetermined
38,67,Undetermined
38,68,Undetermined
38,69,Undetermined
38,70,Undetermined
38,71,Undetermined
38,72,Undetermined
38,73,Undetermined
38,74,Undetermined
38,75,Undetermined
38,76,Undetermined
38,77,Undetermined
38,78,Undetermined
38,79,Undetermined
38,80,Undetermined
38,81,Undetermined
38,82,Undetermined
38,83,Undetermined
38,84,Undetermined
38,85,Undetermined
38,86,Undetermined
38,87,Undetermined
38,88,Undetermined
38,89,Undetermined
38,90,Undetermined
38,91,Undetermined
38,92,Undetermined
38,93,Undetermined
38,94,Undetermined
38,95,Undetermined
38,96,Undetermined
38,97,Undetermined
38,98,Undetermined
38,99,Undetermined
38,100,Undetermined
39,0,Undetermined
39,1,Undetermined
39,2,Undetermined
39,3,Undetermined
39,4,Undetermined
39,5,Undetermined
39,6,Undetermined
39,7,Undetermined
39,8,Undetermined
39,9,Undetermined
39,10,Undetermined
39,11,Undetermined
39,12,Undetermined
39,13,Undetermined
39,14,Undetermined
39,15,Undetermined
39,16,Undetermined
39,17,Undetermined
39,18,Undetermined
39,19,Undetermined
39,20,Undetermined
39,21,Undetermined
39,22,Undetermined
39,23,Undetermined
39,24,Undetermined
39,25,Undetermined
39,26,Undetermined
39,27,Undetermined
39,28,Undetermined
39,29,Undetermined
39,30,Undetermined
39,31,Undetermined
39,32,Undetermined
39,33,Undetermined
39,34,Undetermined
39,35,Undetermined
39,36,Undetermined
39,37,Undetermined
39,38,Undetermined
39,39,Undetermined
39,40,Undetermined
39,41,Undetermined
39,42,Undetermined
39,43,Undetermined
39,44,Undetermined
39,45,Undetermined
39,46,Undetermined
39,47,Undetermined
39,48,Undetermined
39,49,Undetermined
39,50,Undetermined
39,51,Undetermined
39,52,Undetermined
39,53,Undetermined
39,54,Undetermined
39,55,Undetermined
39,56,Undetermined
39,57,Undetermined
39,58,Undetermined
39,59,Undetermined
39,60,Undetermined
39,61,Undetermined
39,62,Undetermined
39,63,Undetermined
39,64,Undetermined
39,65,Undetermined
39,66,Undetermined
39,67,Undetermined
39,68,Undetermined
39,69,Undetermined
39,70,Undetermined
39,71,Undetermined
39,72,Undetermined
39,73,Undetermined
39,74,Undetermined
39,75,Undetermined
39,76,Undetermined
39,77,Undetermined
39,78,Undetermined
39,79,Undetermined
39,80,Undetermined
39,81,Undetermined
39,82,Undetermined
39,83,Undetermined
39,84,Undetermined
39,85,Undetermined
39,86,Undetermined
39,87,Undetermined
39,88,Undetermined
39,89,Undetermined
39,90,Undetermined
39,91,Undetermined
39,92,Undetermined
39,93,Undetermined
39,94,Undetermined
39,95,Undetermined
39,96,Undetermined
39,97,Undetermined
39,98,Undetermined
39,99,Undetermined
39,100,Undetermined
40,0,Undetermined
40,1,Undetermined
40,2,Undetermined
40,3,Undetermined
40,4,Undetermined
40,5,Undetermined
40,6,Undetermined
40,7,Undetermined
40,8,Undetermined
40,9,Undetermined
40,10,Undetermined
40,11,Undetermined
40,12,Undetermined
40,13,Undetermined
40,14,Undetermined
40,15,Undetermined
40,16,Undetermined
40,17,Undetermined
40,18,Undetermined
40,19,Undetermined
40,20,Undetermined
40,21,Undetermined
40,22,Undetermined
40,23,Undetermined
40,24,Undetermined
40,25,Undetermined
40,26,Undetermined
40,27,Undetermined
40,28,Undetermined
40,29,Undetermined
40,30,Undetermined
40,31,Undetermined
40,32,Undetermined
40,33,Undetermined
40,34,Undetermined
40,35,Undetermined
40,36,Undetermined
40,37,Undetermined
40,38,Undetermined
40,39,Undetermined
40,40,Undetermined
40,41,Undetermined
40,42,Undetermined
40,43,Undetermined
40,44,Undetermined
40,45,Undetermined
40,46,Undetermined
40,47,Undetermined
40,48,Undetermined
40,49,Undetermined
40,50,Undetermined
40,51,Undetermined
40,52,Undetermined
40,53,Undetermined
40,54,Undetermined
40,55,Undetermined
40,56,Undetermined
40,57,Undetermined
40,58,Undetermined
40,59,Undetermined
40,60,Undetermined
40,61,Undetermined
40,62,Undetermined
40,63,Undetermined
40,64,Undetermined
40,65,Undetermined
40,66,Undetermined
40,67,Undetermined
40,68,Undetermined
40,69,Undetermined
40,70,Undetermined
40,71,Undetermined
40,72,Undetermined
40,73,Undetermined
40,74,Undetermined
40,75,Undetermined
40,76,Undetermined
40,77,Undetermined
40,78,Undetermined
40,79,Undetermined
40,80,Undetermined
40,81,Undetermined
40,82,Undetermined
40,83,Undetermined
40,84,Undetermined
40,85,Undetermined
40,86,Undetermined
40,87,Undetermined
40,88,Undetermined
40,89,Undetermined
40,90,Undetermined
40,91,Undetermined
40,92,Undetermined
40,93,Undetermined
40,94,Undetermined
40,95,Undetermined
40,96,Undetermined
40,97,Undetermined
40,98,Undetermined
40,99,Undetermined
40,100,Undetermined
41,0,Undetermined
41,1,Undetermined
41,2,Undetermined
41,3,Undetermined
41,4,Undetermined
41,5,Undetermined
41,6,Undetermined
41,7,Undetermined
41,8,Undetermined
41,9,Undetermined
41,10,Undetermined
41,11,Undetermined
41,12,Undetermined
41,13,Undetermined
41,14,Undetermined
41,15,Undetermined
41,16,Undetermined
41,17,Undetermined
41,18,Undetermined
41,19,Undetermined
41,20,Undetermined
41,21,Undetermined
41,22,Undetermined
41,23,Undetermined
41,24,Undetermined
41,25,Undetermined
41,26,Undetermined
41,27,Undetermined
41,28,Undetermined
41,29,Undetermined
41,30,Undetermined
41,31,Undetermined
41,32,Undetermined
41,33,Undetermined
41,34,Undetermined
41,35,Undetermined
41,36,Undetermined
41,37,Undetermined
41,38,Undetermined
41,39,Undetermined
41,40,Undetermined
41,41,Undetermined
41,42,Undetermined
41,43,Undetermined
41,44,Undetermined
41,45,Undetermined
41,46,Undetermined
41,47,Undetermined
41,48,Undetermined
41,49,Undetermined
41,50,Undetermined
41,51,Undetermined
41,52,Undetermined
41,53,Undetermined
41,54,Undetermined
41,55,Undetermined
41,56,Undetermined
41,57,Undetermined
41,58,Undetermined
41,59,Undetermined
41,60,Undetermined
41,61,Undetermined
41,62,Undetermined
41,63,Undetermined
41,64,Undetermined
41,65,Undetermined
41,66,Undetermined
41,67,Undetermined
41,68,Undetermined
41,69,Undetermined
41,70,Undetermined
41,71,Undetermined
41,72,Undetermined
41,73,Undetermined
41,74,Undetermined
41,75,Undetermined
41,76,Undetermined
41,77,Undetermined
41,78,Undetermined
41,79,Undetermined
41,80,Undetermined
41,81,Undetermined
41,82,Undetermined
41,83,Undetermined
41,84,Undetermined
41,85,Undetermined
41,86,Undetermined
41,87,Undetermined
41,88,Undetermined
41,89,Undetermined
41,90,Undetermined
41,91,Undetermined
41,92,Undetermined
41,93,Undetermined
41,94,Undetermined
41,95,Undetermined
41,96,Undetermined
41,97,Undetermined
41,98,Undetermined
41,99,Undetermined
41,100,Undetermined
42,0,Undetermined
42,1,Undetermined
42,2,Undetermined
42,3,Undetermined
42,4,Undetermined
42,5,Undetermined
42,6,Undetermined
42,7,Undetermined
42,8,Undetermined
42,9,Undetermined
42,10,Undetermined
42,11,Undetermined
42,12,Undetermined
42,13,Undetermined
42,14,Undetermined
42,15,Undetermined
42,16,Undetermined
42,17,Undetermined
42,18,Undetermined
42,19,Undetermined
42,20,Undetermined
42,21,Undetermined
42,22,Undetermined
42,23,Undetermined
42,24,Undetermined
42,25,Undetermined
42,26,Undetermined
42,27,Undetermined
42,28,Undetermined
42,29,Undetermined
42,30,Undetermined
42,31,Undetermined
42,32,Undetermined
42,33,Undetermined
42,34,Undetermined
42,35,Undetermined
42,36,Undetermined
42,37,Undetermined
42,38,Undetermined
42,39,Undetermined
42,40,Undetermined
42,41,Undetermined
42,42,Undetermined
42,43,Undetermined
42,44,Undetermined
42,45,Undetermined
42,46,Undetermined
42,47,Undetermined
42,48,Undetermined
42,49,Undetermined
42,50,Undetermined
42,51,Undetermined
42,52,Undetermined
42,53,Undetermined
42,54,Undetermined
42,55,Undetermined
42,56,Undetermined
42,57,Undetermined
42,58,Undetermined
42,59,Undetermined
42,60,Undetermined
42,61,Undetermined
42,62,Undetermined
42,63,Undetermined
42,64,Undetermined
42,65,Undetermined
42,66,Undetermined
42,67,Undetermined
42,68,Undetermined
42,69,Undetermined
42,70,Undetermined
42,71,Undetermined
42,72,Undetermined
42,73,Undetermined
42,74,Undetermined
42,75,Undetermined
42,76,Undetermined
42,77,Undetermined
42,78,Undetermined
42,79,Undetermined
42,80,Undetermined
42,81,Undetermined
42,82,Undetermined
42,83,Undetermined
42,84,Undetermined
42,85,Undetermined
42,86,Undetermined
42,87,Undetermined
42,88,Undetermined
42,89,Undetermined
42,90,Undetermined
42,91,Undetermined
42,92,Undetermined
42,93,Undetermined
42,94,Undetermined
42,95,Undetermined
42,96,Undetermined
42,97,Undetermined
42,98,Undetermined
42,99,Undetermined
42,100,Undetermined
43,0,Undetermined
43,1,Undetermined
43,2,Undetermined
43,3,Undetermined
43,4,Undetermined
43,5,Undetermined
43,6,Undetermined
43,7,Undetermined
43,8,Undetermined
43,9,Undetermined
43,10,Undetermined
43,11,Undetermined
43,12,Undetermined
43,13,Undetermined
43,14,Undetermined
43,15,Undetermined
43,16,Undetermined
43,17,Undetermined
43,18,Undetermined
43,19,Undetermined
43,20,Undetermined
43,21,Undetermined
43,22,Undetermined
43,23,Undetermined
43,24,Undetermined
43,25,Undetermined
43,26,Undetermined
43,27,Undetermined
43,28,Undetermined
43,29,Undetermined
43,30,Undetermined
43,31,Undetermined
43,32,Undetermined
43,33,Undetermined
43,34,Undetermined
43,35,Undetermined
43,36,Undetermined
43,37,Undetermined
43,38,Undetermined
43,39,Undetermined
43,40,Undetermined
43,41,Undetermined
43,42,Undetermined
43,43,Undetermined
43,44,Undetermined
43,45,Undetermined
43,46,Undetermined
43,47,Undetermined
43,48,Undetermined
43,49,Undetermined
43,50,Undetermined
43,51,Undetermined
43,52,Undetermined
43,53,Undetermined
43,54,Undetermined
43,55,Undetermined
43,56,Undetermined
43,57,Undetermined
43,58,Undetermined
43,59,Undetermined
43,60,Undetermined
43,61,Undetermined
43,62,Undetermined
43,63,Undetermined
43,64,Undetermined
43,65,Undetermined
43,66,Undetermined
43,67,Undetermined
43,68,Undetermined
43,69,Undetermined
43,70,Undetermined
43,71,Undetermined
43,72,Undetermined
43,73,Undetermined
43,74,Undetermined
43,75,Undetermined
43,76,Undetermined
43,77,Undetermined
43,78,Undetermined
43,79,Undetermined
43,80,Undetermined
43,81,Undetermined
43,82,Undetermined
